Date,Open,High,Low,Close,Adj Close,Volume
2002-08-12,508.100006,512.549988,505.000000,505.149994,386.555054,7100
2002-08-13,503.500000,515.000000,503.500000,509.049988,389.539337,8800
2002-08-14,502.100006,515.000000,502.100006,514.400024,393.633362,18700
2002-08-15,null,null,null,null,null,null
2002-08-16,516.000000,516.849976,510.000000,511.000000,391.031525,9400
2002-08-19,515.000000,518.950012,512.049988,513.000000,392.562073,9100
2002-08-20,516.500000,547.349976,513.299988,523.299988,400.443878,87200
2002-08-21,530.000000,533.799988,518.000000,519.700012,397.689056,26000
2002-08-22,521.000000,531.000000,516.549988,524.849976,401.629913,17700
2002-08-23,535.000000,572.000000,535.000000,561.900024,429.981659,701900
2002-08-26,560.000000,560.000000,530.000000,546.400024,418.120728,50100
2002-08-27,546.000000,558.000000,546.000000,552.000000,422.406036,29100
2002-08-28,541.000000,557.000000,541.000000,555.349976,424.969360,20100
2002-08-29,555.000000,567.950012,548.000000,553.849976,423.821564,138400
2002-08-30,555.099976,559.900024,553.000000,555.049988,424.739838,39400
2002-09-02,558.500000,561.500000,557.000000,558.950012,427.724304,22900
2002-09-03,560.000000,560.500000,556.000000,558.250000,427.188446,8400
2002-09-04,552.049988,560.000000,552.049988,559.200012,427.915588,7800
2002-09-05,571.000000,578.000000,564.000000,571.200012,437.098328,974200
2002-09-06,570.000000,570.000000,562.000000,565.400024,432.659943,14500
2002-09-09,560.000000,563.700012,555.650024,560.099976,428.604218,16800
2002-09-10,null,null,null,null,null,null
2002-09-11,563.500000,563.500000,556.000000,560.549988,428.948547,32400
2002-09-12,557.150024,561.000000,557.150024,560.000000,428.527679,13200
2002-09-13,560.000000,560.000000,554.500000,557.049988,426.270203,1900
2002-09-16,551.000000,559.750000,551.000000,558.200012,427.150360,5300
2002-09-17,558.000000,560.950012,554.099976,560.450012,428.872070,7300
2002-09-18,556.250000,561.000000,556.250000,560.700012,429.063416,7800
2002-09-19,560.000000,560.000000,552.500000,555.049988,424.739838,23800
